BRANCH	SHA	MAIN_CONTAINS	RESEARCH_CONTAINS	EXACT_PR	PR_STATE	MERGED	FILES	MERGED_MENTIONS	TITLE
__do_not_create__	9d2e260be4ad1abff63afbd5878222580140c585	true	false			false	0		
agent/custom-domain	5aaa4eec295767f6f1c49edab21ca1f9ac2da235	false	false	30	closed	false	10		Prepare thelegendarypoet.ru custom domain
agent/deep-home-polish-20260725	56d6a6e536d1f4bd6fbaf663125bd2782593e594	false	false	133	closed	false	6		fix(home): deepen premium hero reliability and mobile polish
agent/home-polish-clean-20260725-r2	15b0b3d560d2b07a0708d0727a94f4c475b28629	false	false			false	6		
agent/home-polish-clean-20260725-r3	c5f90764450e690b42e8d949b860609f05961a3c	true	false			false	0		
agent/home-polish-reconciled-20260725	3c378f9a29dcc8bd94a2b329b7a075b5b7266db9	false	false	169	closed	false	6		fix(home): finish touch labels and QA reconciliation
agent/lermontov-road-essay	cb8a4ae542f6267574af33deaad6a64a7ec1a380	false	false			false	8		
agent/premium-poet-windows	35a7084fa12883d20ce0ddad6b0f9c5638a03b28	false	false	119	closed	false	13		feat(home): add premium interactive poet windows
archive-collage-real-photos	954959db8d39a60f44d7e767ac0e36893e226c30	false	false	32	closed	false	3		Draft: repair provenance for Mayakovsky–Brik archive collage
arena/019f6acc-thelegendarypoet	0a85ea232d16d96621538f4a90b2dfb58cc37c61	false	false			false	80		
arena/019f6b05-thelegendarypoet	b90dae26ef8e4104b0e633433dd82cd98fe16dd5	false	false	29	closed	false	29		Моральный реализм, верификация по первоисточникам и унификация отдела поэтов
audit/playwright-total-article-check	e499a78c7730e4e27422626b3789130352a2f770	false	false	38	closed	false	32		Audit all article engines and media with Playwright
audit/runtime-hygiene-scan-20260727	09bdf64a2e12f6f9dbec6622f59e621ac38dc5fe	true	false			false	0		
brand-build-diagnostics	69591065066c1a3bf18d8ba7eda5f4829751933f	false	false	143	closed	false	1		Capture failing production build output
ci/diagnose-main-red	00937c34e24375dc2920de7f5aec903824e58217	false	false	254	closed	false	1		chore(ci): diagnose current main failure
deploy-live-cloak-v2	ca20c791abc40b8560327f18dba2858ce5daa898	false	false	148	closed	false	15		Deploy approved emblem v3 live
deploy-live-emblem-v3-20260725	1a074f6fe424d7480108995afb58c6c8fd9a7634	false	false	151	closed	false	14		Deploy approved emblem v3 and remove all old fallbacks
fix/approved-brand-home-polish-clean-v2	96c16d11a53bdf6fc978ff56fcd81ac5e1d241b0	false	false			false	2		
fix/brand-direct-assets-recovery-20260725	1ac8bec1573877d8abfd0b5c7a9e9497c92e1558	true	false			false	0		
fix/brand-direct-assets-scratch	3993dad54649fdf90c66b3b30a931a5ed95815d9	false	false			false	7		
fix/brand-live-verification-20260725	84b0ab03fad921b856b57dc711b7c7c3b53dccb7	false	false			false	13		
fix/brand-live-verification-20260725-v2	291bccd63220aee6e835d8109ba84b621bacbfd8	false	false	146	closed	false	14		Fix live emblem publication and remove every old fallback
fix/brand-ssot-recovery-20260725	8c4317fbe85a5a84d4c6a4e625479c44fcfbd440	false	false	140	closed	false	21		fix(brand): recover deterministic SSOT and fail closed
fix/brand-v8-26-postmerge	723d0c2430d7f34dbe66e44ae1c70054fca8bc0b	false	false			false	3		
fix/brand-v8-27-postmerge	3fbfa51b0792aede74379d868cba05be2e8e9f58	false	false			false	3		
fix/brand-v8-28-postmerge	9fd4fde175b984f999bcb8bd89c3845eba6c3d30	true	false			false	0		
fix/deep-vector-brandmark-v5	a17aa92c60173ced5373cab8bfd6597be907ad72	false	false			false	4		
fix/deploy-source-sha-contract	15ae76a2b23511e136fd22a472c9569d7487c6c3	false	false	166	closed	false	4		fix(deploy): restore exact source SHA contract
fix/emblem-v3-main-final	93e18d862d71ab3c566177c8d34bef98c2298aa3	true	false			false	0		
fix/home-full-labels-hybrid-cursor	c23ef1a83384cdf0a7e419d0a9247170e99e532c	false	false	179	closed	false	8		fix(home): preserve full poet names and hybrid pointer behavior
fix/mobile-poet-label-wrapping-20260725	a2b19743a48311e7b36d6892db8fa10f38e6a75d	false	false	173	closed	false	5		fix(home): show complete poet names on mobile premium cards
fix/music-cover-resilience-20260727	983c51115a7f7108f2873c6729f56a1a722ff7e0	true	false			false	0		
fix/mystical-epic-brand-v8-check	189a753ced42af1b376c41a6f19a70d27cab74e2	false	false			false	12		
fix/mystical-epic-brand-v8-final	189a753ced42af1b376c41a6f19a70d27cab74e2	false	false			false	12		
fix/pages-exact-source-provenance-20260725	0a1f63e732c0669ac3264db0ebc00b13e6b07201	false	false	157	closed	false	2		fix(deploy): build trusted Pages releases from exact PR head
fix/remove-duplicate-desktop-search-fab	8ea2a796d8197a3fdd6cae50ead577d4ced21018	false	false	187	closed	false	4		fix(search): remove duplicate desktop Ctrl K control
main	02a767e0785d1471c7acc8c355f2358a9ce65e8f	true				false	0	252,251,120,138,99,137,142,210,222,217,108,105,95,96,101,82,98,84,102,114,90,88,79,230,178,134,128,110,103,127,218,184,116,125,122,111,117,139,205,172,60,78,224,58,227,225,189,57,73,65,52,86,176,193,223,221,255,233,162,181,261,250,164,207,257,53,262,155,185,248,237,234,123,56,31,235,232,236,259,246,243,239,238,196,194,190,163,150,92,265,69,275,271,273,268,267,266,226,199,203,188,183,174,167,160,153,136,132,109,85,80,72,71,70,68,67,66,59,22,15,1	
noop-check	b114e4b6d979c2f5fc327d74f3b0bcd45139988d	false	true			false	80		
release/approved-essay-covers-2026-08-04	289677934d63366d876664fcae1ae1113da94fbb	false	false			false	4		
research/yesenin-mariengof-rsl-route-pass13	23fb34aed69790ade8fa8f77f8b9884fb1171d4f	false	false			false	80		
research/yesenin-part1-authoring-76	481c28647f0079ecd081ca81cfdefbf7d7e7c552	false	false			false	80		
research/yesenin-part1-pass6	075c10661fab107283e95798871381833be69048	false	false			false	80		
research/yesenin-part1-source-sweep-pass6-pr	b3e004b67b0973e6b7b1ca13a4cc37ac0cc82102	false	false			false	80		
research/yesenin-pravda-eastview-pass27-runtime-supersession	ae2e21c5978d22101ca56f0a334e84bc1efab8f2	false	false	220	closed	false	80		Supersede East View pass 27 with exact runtime evidence
research/yesenin-priority-books-validation-base	d312dd9f269955f564cad3e80c3d0d43e4c56b33	false	true			false	80		
research/yesenin-real-visual-hash-baseline	fdcab38404da639d1fa0fbd67c2bb48d86f80b32	false	false			false	80		
test/webkit-reduced-paint-barrier	a1909b36adfeaf0cd320b470fd49737e4d4b4cee	false	false	170	closed	false	1		test(home): wait for WebKit paint before reduced-motion evidence
validation/domain-tls-post-cname-20260724	6cb5cef2038932be5d9e7c94d53964e015b1fd95	false	false	74	closed	false	1		Validate production TLS after restoring CNAME
verify-live-cloak-emblem	d544a2f3095454367290890fa570aed5f38efe17	false	false	145	closed	false	2		Verify approved emblem on live domain
work/local-images-playwright-wtoc	909df9f73b8d9be6faa58cbee767603954e3fb17	false	true	37	closed	false	80	142,95,101,102,90,88,172,60,58,57,73,65,52,86,163,92	Archived research ledger: Yesenin source upgrades and rights
work/local-images-playwright-wtoc-backup	1533d7c89357a2cfe12f5d27d5336a2f68bae67b	false	true			false	80		
work/yesenin-visual-series	b40385101ea3049627f7530ddb269597aa96f417	false	false	34	closed	false	5		Draft: extract and verify Yesenin biography Part I
