CLASS	BRANCH	SHA	PR	BASE	FILES	TITLE
ADVANCED_SINCE_PR	agent/home-polish-clean-20260725-r2	15b0b3d560d2b07a0708d0727a94f4c475b28629			0	
ADVANCED_SINCE_PR	agent/lermontov-road-essay	cb8a4ae542f6267574af33deaad6a64a7ec1a380			0	
ADVANCED_SINCE_PR	research/yesenin-part1-authoring-76	481c28647f0079ecd081ca81cfdefbf7d7e7c552			0	
CLOSED_EXPLICIT_NEVER_MERGE	diag/webkit-reduced-motion-paint	1996fc196a9ef98b14dc7e48856439f88256c15c	168	main	3	test(home): diagnose reduced-motion WebKit paint
CLOSED_EXPLICIT_NEVER_MERGE	fix/approved-brand-integrity-complete-20260725	b59d67e46e5a45b64055d4e7b134ce215b29df85	152	main	12	fix(brand): validate approved master and restore complete platform assets
CLOSED_EXPLICIT_NEVER_MERGE	research/yesenin-benislavskaya-volume-access-evidence-pass25	e21a014e743f9f354daf32760166e63343af5ac3	202	research/yesenin-benislavskaya-inbound-evidence-pass24	6	Validate Benislavskaya source-volume access pass 25
CLOSED_EXPLICIT_NEVER_MERGE	validation/research-source-gates-20260723	ed496dd3f851cb9cd95f76c958b1642a9c376b2c	44	work/local-images-playwright-wtoc	1	Validate latest research head and article QA
CLOSED_MENTIONS_SUCCESSOR	docs/imli-40plus-source-integration-2026-07-30	943dab286cf73122976e1212f283888029ae0c68	260	main	2	docs: integrate IMLI PDF archive and rights-aware source workflow
CLOSED_MENTIONS_SUCCESSOR	feat/home-poet-window-polish-clean-v2	81906b37df7fc0f6ed5c404e3f8e964f7a799572	156	main	5	feat(home): harden premium poet windows and QA
CLOSED_MENTIONS_SUCCESSOR	feat/seo-production-hardening	18c1026efd87d5f7f3dda81a3bd8646489474614	256	main	25	feat(seo): production discovery, schema, trust and consent hardening
CLOSED_MENTIONS_SUCCESSOR	fix/home-polish-brand-materializer-clean	17d949e204ec5745464bedc5705d1bb82eee36a9	135	main	34	fix(home): harden premium hero and brand materialization
CLOSED_MENTIONS_SUCCESSOR	fix/mystical-epic-brand-v7	a580bac1fae448148f3b51cd18a825798622bc06	228	main	12	fix(brand): restore mystical epic depth in hooded emblem
CLOSED_MENTIONS_SUCCESSOR	fix/mystical-epic-brand-v8	99c7e6c84c825114e42b864b3a18b1b07f762ae0	231	main	12	fix(brand): refine mystical epic emblem with traced v8.4 SVG
CLOSED_MENTIONS_SUCCESSOR	fix/pages-exact-source-provenance-clean	71d5f01b970bf74846040597b9fba4968c32c03a	161	main	2	fix(deploy): preserve exact source provenance for Pages releases
CLOSED_MENTIONS_SUCCESSOR	sync/main-poet-windows-into-research	b00383626eb4f1323b55cbe2d191fbffd30dbbb1	130	work/local-images-playwright-wtoc	5	Sync premium poet windows into canonical research
CLOSED_UNMERGED_REVIEW	agent/custom-domain	5aaa4eec295767f6f1c49edab21ca1f9ac2da235	30	main	10	Prepare thelegendarypoet.ru custom domain
CLOSED_UNMERGED_REVIEW	agent/deep-home-polish-20260725	56d6a6e536d1f4bd6fbaf663125bd2782593e594	133	main	6	fix(home): deepen premium hero reliability and mobile polish
CLOSED_UNMERGED_REVIEW	agent/home-polish-reconciled-20260725	3c378f9a29dcc8bd94a2b329b7a075b5b7266db9	169	main	6	fix(home): finish touch labels and QA reconciliation
CLOSED_UNMERGED_REVIEW	agent/premium-poet-windows	35a7084fa12883d20ce0ddad6b0f9c5638a03b28	119	main	13	feat(home): add premium interactive poet windows
CLOSED_UNMERGED_REVIEW	archive-collage-real-photos	954959db8d39a60f44d7e767ac0e36893e226c30	32	main	3	Draft: repair provenance for Mayakovsky–Brik archive collage
CLOSED_UNMERGED_REVIEW	arena/019f6b05-thelegendarypoet	b90dae26ef8e4104b0e633433dd82cd98fe16dd5	29	main	29	Моральный реализм, верификация по первоисточникам и унификация отдела поэтов
CLOSED_UNMERGED_REVIEW	audit/playwright-total-article-check	e499a78c7730e4e27422626b3789130352a2f770	38	main	32	Audit all article engines and media with Playwright
CLOSED_UNMERGED_REVIEW	brand-build-diagnostics	69591065066c1a3bf18d8ba7eda5f4829751933f	143	main	1	Capture failing production build output
CLOSED_UNMERGED_REVIEW	ci/diagnose-main-red	00937c34e24375dc2920de7f5aec903824e58217	254	main	1	chore(ci): diagnose current main failure
CLOSED_UNMERGED_REVIEW	deploy-live-cloak-v2	ca20c791abc40b8560327f18dba2858ce5daa898	148	main	15	Deploy approved emblem v3 live
CLOSED_UNMERGED_REVIEW	deploy-live-emblem-v3-20260725	1a074f6fe424d7480108995afb58c6c8fd9a7634	151	main	14	Deploy approved emblem v3 and remove all old fallbacks
CLOSED_UNMERGED_REVIEW	fix/brand-live-verification-20260725-v2	291bccd63220aee6e835d8109ba84b621bacbfd8	146	main	14	Fix live emblem publication and remove every old fallback
CLOSED_UNMERGED_REVIEW	fix/brand-ssot-recovery-20260725	8c4317fbe85a5a84d4c6a4e625479c44fcfbd440	140	main	21	fix(brand): recover deterministic SSOT and fail closed
CLOSED_UNMERGED_REVIEW	fix/deploy-source-sha-contract	15ae76a2b23511e136fd22a472c9569d7487c6c3	166	main	4	fix(deploy): restore exact source SHA contract
